what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665701053
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665703349
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665703468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665705716
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248665709381
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1248665711526
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665714482
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665716256
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1248665716819
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665720308
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665743912
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1248665743957
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1248665743957
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665745019
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665806574
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665807573
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665810277
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1248665810718
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248665818974
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1248665821872
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665833416
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665845175
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1248665845208
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248665896679
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248665897663
