what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248668976804
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1248668978176
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668992767
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248669004338
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669027111
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669030264
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669039582
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669042893
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669047485
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669050509
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669053270
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669058186
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669059789
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1248669061924
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669066892
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248669085121
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248669103612
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669110607
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248669130244
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248669168138
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248669169543
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248669170430
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248669271426
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248669273298
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248669276780
