what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668369237
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1248668374565
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248668383992
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668384876
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668418719
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668420386
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668447393
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1248668457689
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248668465331
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1248668469081
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668473734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668481808
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1248668481858
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1248668481858
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668482840
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668526705
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668531135
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248668556420
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1248668558554
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1248668577512
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1248668577664
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1248668577960
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1248668578096
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1248668578249
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1248668578400
