what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665499731
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665500855
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1248665500902
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665501444
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665503655
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1248665503754
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665503931
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665505671
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1248665505692
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665506107
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248665508042
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665508189
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1248665508227
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665508595
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1248665510319
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248665512579
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1248665527269
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248665528191
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665530328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665532424
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1248665532545
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248665534504
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665540600
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1248665540768
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1248665541776
